splimage,splshape_text,splimprint,splcolor_text
551110126,OVAL,R;126,WHITE
620370698,CAPSULE,Andrx;698;240;mg,BLUE;PINK
510790630,CAPSULE,MYLAN;1101,GREEN;BROWN
65162-0513-50_210E90D4,CAPSULE,AN;513,YELLOW
597621004,CAPSULE,PROCARDIA;PFIZER;260,ORANGE
633040296,CAPSULE,HCQS,WHITE
604290753,ROUND,K;13,WHITE
60505-3145-01_NLMIMAGE10_F13AF8E7,CAPSULE,APO;C30,WHITE;WHITE
643760603,ROUND,BOCA;603,WHITE
422910390,ROUND,E;71,PINK
00093-3044-01_NLMIMAGE10_213810E0,OVAL,M;312,BLUE
604290749,OVAL,APO;SOT;120,WHITE
605052763,ROUND,APO;TP;200,BROWN
4b4973a7-3045-24c7-e054-00144ff8d46c,OVAL,SG;136,WHITE
00591-2230-15_7F1B3FC9,ROUND,b;241,WHITE
50111046901,ROUND,PLIVA;469,GREEN
00093-5505-56_F426FA17,CAPSULE,TEVA;5505,WHITE
621750892,ROUND,40,WHITE
243380106,ROUND,ES,PINK
10370-0117-10_851DC2BE,ROUND,A117,YELLOW
62756-0184-18_AE085772,CAPSULE,184,YELLOW
00406-0362-01_D115E8BF,OVAL,M362,WHITE
16714-0372-02_NLMIMAGE10_CC49662B,ROUND,L122,WHITE
00555-0969-02_0C300600,OVAL,b;969;100,BROWN
50_mg_Venlafaxine_Tablet,ROUND,ZC;66,ORANGE
00078-0315-34_F8157C5B,OVAL,CG;HHH,RED
136680040,OVAL,R4;1040,YELLOW
00591-5658-10_8205411A,ROUND,DAN;5658,WHITE
00781-2020-05_D812EC47,CAPSULE,AMOX;250;GG;848,YELLOW
551110367,CAPSULE,IP189;375,WHITE
64679-0945-01_8712C396,CAPSULE,W945,WHITE
67253-0141-50_E215711B,CAPSULE,WC;731,ORANGE
604290342,ROUND,EP120,WHITE
675440891,ROUND,SYNTHROID;112,RED
502680531,CAPSULE,IP;178,WHITE
422910717,OVAL,661,YELLOW
547380554,ROUND,5971;V,WHITE
ZYD05200,ROUND,1,YELLOW
00172-5313-60_BC27DE7E,OVAL,TEVA;5313,WHITE
00007-4642-13_8C18C666,ROUND,GS;FFS;75,PINK
516724053,OVAL,T600,GRAY
604290206,ROUND,L;22;M,BLUE
604290270,CAPSULE,MYLAN;6150,GREEN;BLUE
ZYD00950,ROUND,ZC42,WHITE
00591-2169-19_NLMIMAGE10_C843647B,OVAL,VS160,ORANGE
00007-3370-61_D119689B,CAPSULE,GSK;COREG;CR;10;mg,WHITE;GREEN
00185-0043-01_7208B925,ROUND,E;43,ORANGE;RED
31722-0280-60_171D8B9C,ROUND,IG;280,YELLOW
200_mg_Topiramate_Tablet,ROUND,ZD;13,WHITE
68382-0057-01_23129184,OVAL,WAR;6,GREEN
675440479,CAPSULE,VALPROIC;250,WHITE
00310-0752-90_8F1347FA,ROUND,20;crestor,PINK
433530867,ROUND,E;173,PINK
31722-0238-10_E4047243,ROUND,238;IG,WHITE
422910300,CAPSULE,IP101,WHITE
494830221,CAPSULE,TCL;1221,PINK;WHITE
672530180,CAPSULE,WC402,GRAY
651620545,ROUND,AN;545,WHITE
504580602,SQUARE,P1,ORANGE
00093-1003-01_B326D9D6,RECTANGLE,TV;1003;5;5;5,WHITE
51285-0081-98_NLMIMAGE10_04368254,ROUND,b;247,BROWN
701d9d2b-03b2-2c75-e053-2991aa0a2ebf,ROUND,C;75,BLUE
675440097,ROUND,GG772,WHITE
433530889,CAPSULE,180,WHITE;BLUE
504580655,ROUND,200;ER,WHITE
510790925,CAPSULE,MYLAN;6090,PINK;WHITE
00591-3774-19_491B24F9,OVAL,PD;155;10,WHITE
76439-0302-10_NLMIMAGE10_37459BAC,CAPSULE,VP;302,GREEN
68546022956,ROUND,GIL;1,WHITE
55111-0264-81_NLMIMAGE10_E33BF1BF,CAPSULE,R264,YELLOW
8c3d57a2-6de1-1a41-e053-2a95a90a0bf6,ROUND,EM;5,WHITE
519910604,OVAL,A3,GREEN
8abda4ad-2f0a-9428-e053-2a95a90ac0fb,OVAL,225;I;G,WHITE
643760812,ROUND,BP;812,BROWN
7d4c0cb0-8d6b-72b1-e053-2a91aa0a6bba,ROUND,ZC;78,GREEN
604290138,CAPSULE,E503,PINK;WHITE
621750118,CAPSULE,KU;118,WHITE;YELLOW
433530839,OVAL,LCI;1367,YELLOW
13107-0032-34_421B2139,CAPSULE,10;A,WHITE
422910170,ROUND,AN;574,YELLOW
00555904958part1of2,ROUND,dp;543,WHITE
00054-0020-25_250892B4,ROUND,54;346,WHITE
00093-7242-06_76293B69,ROUND,93;7242,YELLOW
65862-0030-99_NLMIMAGE10_2C409614,ROUND,3;1;A,WHITE
00093-0173-56_A429524A,ROUND,173;93,WHITE
604290318,OVAL,LK;100,GREEN
604290205,OVAL,Par;035,YELLOW
649800183,ROUND,PARNATE;SB,RED
672530383,OVAL,8;mg;ML;P19,GREEN
604290725,OVAL,571;500,WHITE
00173-0722-00-splimage30-f918fcf7,ROUND,WELLBUTRIN;SR;200,PINK
317220302,ROUND,IG;302,WHITE
502680686,ROUND,AN;44,WHITE
00603-6342-16_NLMIMAGE10_A847547A,OVAL,L130;160,YELLOW
633040696,CAPSULE,RX696,GRAY
317220228,CAPSULE,228;IG,BROWN
00172-5033-60_BD2D5E9A,ROUND,5033;10;12;5,BLUE
29300-0126-01_26131378,ROUND,UL;5;5,PINK
ATX01570,ROUND,APO;BUP;100,PURPLE
00093-2130-01,CAPSULE,Z;Zenith;50mg;2130,PINK;WHITE
790c1c5b-f11c-667f-e053-2991aa0a4dbe,ROUND,WPI;844,ORANGE
682200115,CAPSULE,AP;115,WHITE
576640273,ROUND,5;273,YELLOW
62037-0559-01_F30E7993,CAPSULE,Logo;559,WHITE
498840494,ROUND,LANOXIN;X3A,WHITE
00781-5188-01_D020E837,CAPSULE,175;GG;339,PURPLE
675440276,ROUND,WW;63,YELLOW
646790786,OVAL,W786,BROWN
62175-0262-37_94084A22,ROUND,KU;262,PINK
458020594,OVAL,L9CZ;5,WHITE
435950080,CAPSULE,DDS;080,YELLOW
8cb93e5f-4e9f-24b7-e053-2a95a90a5a23,ROUND,DAN;5555;20,BLUE
00527-1393-30_RXNAVIMAGE10_BB0EDDB6,CAPSULE,LANNETT;1393,RED
604290109,ROUND,W3,WHITE
433530914,ROUND,M;724,WHITE
5mg-325mg_Hydrocodone-APAP_Tablet,CAPSULE,IP;109,WHITE
433530749,OVAL,TARO;89,BLUE
658620288,ROUND,D;5;9,WHITE
604290096,ROUND,par;55,BROWN
55253-0601-30_NLMIMAGE10_DE356F4B,ROUND,C;404,YELLOW
50111043301,ROUND,PLIVA;433,WHITE
604290077,ROUND,WW;125,PINK
50419-0109-10_SPLIMAGE30_19190CB8,OVAL,Betapace;120;mg,BLUE
64679-0927-01_130889B4,ROUND,W,WHITE
00781-5189-01_7523BAED,CAPSULE,200;GG;340,PINK
498840087,PENTAGON (5 SIDED),par;087,WHITE
428060049,ROUND,E49,YELLOW;YELLOW
644550795,CAPSULE,cardizem;CD;120;mg,BLUE
591480003,TRIANGLE,PLETAL;50,WHITE
231550146,OVAL,HP146,BLUE
00093-1078-53_8529C2FE,OVAL,1078;93,WHITE
433530017,OVAL,3596;V,WHITE
576640116,OVAL,116,YELLOW
55111-0179-15_7F0EBF85,OVAL,R179,WHITE
510790147,ROUND,M;37,BLUE
422910532,OVAL,IP;194,BLUE
604290368,ROUND,APO;PRA;20,YELLOW
433530422,OVAL,M360,WHITE
7d4d73f1-5e9a-6eb0-e053-2a91aa0a0bb1,ROUND,230;logo,YELLOW
18a79505-b506-62c0-e054-00144ff88e88,ROUND,21G,PINK
8dbc2ed6-664f-f985-e053-2995a90a1bfb,OVAL,RDY;3;21,GREEN
37.5_mg_Venlafaxine_Tablet,ROUND,ZC;65,ORANGE
621750891,ROUND,2,WHITE
71f9e3bb-e69d-5387-e053-2a95a90a9fc5,ROUND,KU;260,PINK
422910311,OVAL,AN;713,WHITE
604290374,ROUND,APO;QUE;200,WHITE
604290223,ROUND,A;75,WHITE
433530494,ROUND,7;1;2;COUMADIN,YELLOW
681800412,OVAL,LU;M13,WHITE
597620028,ROUND,50;G;0028,WHITE
498840830,CAPSULE,R;2577,GREEN;BLUE
44523-0415-01_NLMIMAGE10_4A3EA535,RECTANGLE,M15,YELLOW
00056-0169-70_931349AA,ROUND,1;COUMADIN,PINK
643760648,OVAL,BP;648;5,WHITE
433530763,ROUND,CTI;143,WHITE
00591-0407-10_6708B3B5,ROUND,WATSON;407,BLUE
50111-0434-01_SPLIMAGE30_F22FF97F,ROUND,PLIVA;434,WHITE
675440883,ROUND,SYNTHROID;25,ORANGE
59762-5018-01_3B269DD4,TRAPEZOID,FLZ;200,PINK
501110990,OVAL,PA140,GREEN
67cebb68-5ab8-0e60-e053-2991aa0a0fbe,ROUND,Y212,WHITE
523430088,CAPSULE,C;07,PINK
00591-5442-01_BA205D42,ROUND,DAN;DAN;5442,WHITE
50111032801,ROUND,PLIVA;328,ORANGE
534890150,ROUND,MP;17,YELLOW
00555-0485-27_0D2B86DC,ROUND,b;485,GREEN
422910140,ROUND,787;TEVA,WHITE
576640600,ROUND,IL;3613,ORANGE
8542fdca-3c59-0ba0-e053-2991aa0a30ca,ROUND,L490,BLUE
604290078,OVAL,PA1,GRAY
272f18b6-1b10-5621-e054-00144ff8d46c,ROUND,AP;012,WHITE
525440287,ROUND,WATSON;287,ORANGE
675440021,ROUND,M;15,WHITE
540920003,ROUND,RPC;2;5;003,WHITE
675440697,ROUND,2530;V,YELLOW
675440468,ROUND,T,ORANGE
51672-4042-02_D6156B1B,ROUND,T;45,PURPLE
23155-0051-01_NLMIMAGE10_5E3C2F01,ROUND,HP;51,BROWN
2ab8564f-f95f-7512-e054-00144ff88e88,ROUND,AP;110,ORANGE
576640568,DIAMOND,568,WHITE
433530687,OVAL,PREMARIN;03,GREEN
621750181,OVAL,KU;181,WHITE
437896a9-5b84-69b9-e054-00144ff88e88,ROUND,FC,PINK;YELLOW;ORANGE
502680113,ROUND,AN;572,WHITE
8d7d1718-29dd-fa97-e053-2a95a90a9702,OVAL,LCI;1338,YELLOW
00093-0670-06_822B417A,OVAL,93;670,WHITE
306980143,CAPSULE,R25,ORANGE
604290226,ROUND,BCM;50,WHITE
00093-8035-01_DC266E63,OVAL,3;035;N,BLUE
SUN04750,OVAL,475,YELLOW
604290340,ROUND,EP118,WHITE
433530693,OVAL,GGD6,WHITE
00069-2600-66_3A211D78,CAPSULE,PROCARDIA;PFIZER;260,ORANGE
60505-2656-05_NLMIMAGE10_A43ED236,OVAL,37;5;25;APO,GREEN
00093-7238-98_731DB9BD,OVAL,TEVA;7238,ORANGE
00591-3670-05_RXNAVIMAGE10_593C2CF1,OVAL,3670,WHITE
510790938,CAPSULE,MYLAN;2268,GRAY;PURPLE
00781-5916-01_NLMIMAGE10_7A48BD05,ROUND,SZ;225,BROWN
8dbaa75e-414f-ff79-e053-2995a90a96c2,ROUND,MP;30,YELLOW
504580642,ROUND,OMN;200,ORANGE
7c74f89a-87e8-1073-e053-2991aa0ae062,CAPSULE,Z18,WHITE
4ec4203e-f1f8-0398-e054-00144ff88e88,ROUND,SG;124,PINK
604290530,OVAL,IG;259,PINK
555130075,OVAL,AMG;90,GREEN
512850424,OVAL,5;AYGESTIN;b;424,WHITE
604290370,ROUND,APO;PRA;80,YELLOW
605050183,ROUND,APO;200,WHITE
68382-0053-01_3D129ED4,OVAL,WAR;2,PURPLE
8e9ab58b-beb0-6a34-e053-2995a90ae07f,CAPSULE,IP;212,WHITE
576640245,OVAL,245,WHITE
174780742,CAPSULE,742;250;mg,BLUE;PURPLE
422910223,OVAL,E;03,WHITE
43598-0166-30_NLMIMAGE10_CE3F676B,OVAL,R10;0166,WHITE
00781-5180-01_7123B8DD,CAPSULE,25;GG;331,ORANGE
65862-0062-01_FB23FDDF,ROUND,C;73,WHITE
433530691,ROUND,2110;V,WHITE
50419-0407-01_SPLIMAGE30_42192129,ROUND,Z,PINK
150_mg_Lamotrigine_Tablet,ROUND,ZC;81,WHITE
422910310,OVAL,AN;711,WHITE
60505-2580-09_RXNAVIMAGE10_9B1DCDFE,OVAL,APO;ATV40,WHITE
50111032801,ROUND,PLIVA;328,ORANGE
606310040,ROUND,ASL;40,WHITE
00093-7386-56_SPLIMAGE30_092F84AC,CAPSULE,93;7386;93;7386,ORANGE
53746-0514-01_NLMIMAGE10_294794CC,ROUND,AN;514,YELLOW
762820200,ROUND,IG;200,WHITE
23155-0056-01_NLMIMAGE10_293B948C,CAPSULE,I35,WHITE
31722-0531-01_RXNAVIMAGE10_BF125FD2,OVAL,59;H,WHITE
86480272-9592-2185-e053-2991aa0a3dd4,ROUND,E;117,WHITE
60505-3759-09_NLMIMAGE10_8E384742,CAPSULE,APO;32;12;5,YELLOW
7d4c0cb0-8d66-72b1-e053-2a91aa0a6bba,ROUND,Z;6,RED
50111064801,CAPSULE,PLIVA;648,WHITE
4ec4203e-f1f8-0398-e054-00144ff88e88,ROUND,SG;124,PINK
633040503,OVAL,CDT;254,WHITE
819ede2e-3471-1539-e053-2991aa0a65f3,OVAL,ABRS;123,WHITE
597625016,TRAPEZOID,FLZ;100,PINK
00185-0820-01_NLMIMAGE10_2F4917F8,ROUND,E;82,PINK
633040313,ROUND,ACTOS;45,WHITE
510790801,ROUND,M;32,PINK
50111032701,ROUND,PLIVA;327,ORANGE
675440289,ROUND,R;34,YELLOW
605050194,ROUND,APO;AML;5,WHITE
422910142,ROUND,753;TEVA,WHITE
658620149,ROUND,E;61,BLUE
60505-0095-00_RXNAVIMAGE10_4A492549,CAPSULE,APO;095,WHITE
50220-0001-01_6005B07D,OVAL,SYNTHO;230,BLUE
64980-0196-01_NLMIMAGE10_C03FE00F,OVAL,LOTENSINHCT;454,RED
762820274,CAPSULE,IG274;10;mg,BLUE
684620425,CAPSULE,G46;150,YELLOW
633040697,OVAL,RI89,YELLOW
604290768,CAPSULE,APO;ZIP;80,PURPLE;WHITE
7a199817-24f1-3d6d-e053-2991aa0a922f,ROUND,3579;V,WHITE
596760564,OVAL,150;TMC,WHITE
551110254,ROUND,R;254,WHITE
604290711,CAPSULE,200;A05,BLUE
544820053,CAPSULE,MATULANE;sigma;tau,WHITE
00591-3120-01_F804FC17,CAPSULE,DAN;3120,PINK
433530854,CAPSULE,AR;374,PURPLE
605050033,OVAL,APO;033,WHITE
59746-0171-06_080E0460,ROUND,TL;171,WHITE
605052593,ROUND,APO;A10,WHITE
68462-0303-29_NLMIMAGE10_5745AB9D,ROUND,G;303,YELLOW
534890332,ROUND,MP;79,GREEN
604290106,CAPSULE,TSL;0;4,ORANGE;GREEN
433530336,ROUND,SYNTHROID;137,BLUE
605052916,OVAL,APO;100;12;5,YELLOW
82b8df88-1d5a-8306-e053-2991aa0ad90d,ROUND,HP;1,PINK
510790774,OVAL,M;N;2,BLUE
00527-1315-01_RXNAVIMAGE10_BE0EDF06,CAPSULE,LANNETT;1315,RED
422910227,CAPSULE,LANNETT;1368,YELLOW
643760649,OVAL,BP;649;7;5,WHITE
00093-7569-56_NLMIMAGE10_2F4397AC,OVAL,TV;7569,BLUE
00143-9920-01_A4265272,OVAL,H5,YELLOW
101350492,ROUND,AN;512,YELLOW
594170103,CAPSULE,S489;30mg,WHITE;ORANGE
644550798,CAPSULE,cardizem;CD;300;mg,GRAY
510790300,ROUND,MYLAN;186,WHITE
00075-7700-60_E51C72E3,OVAL,RPR;202,WHITE
30db0e67-ea60-58a5-e054-00144ff8d46c,OVAL,AP;067,WHITE
621750617,OVAL,17,WHITE
23155-0054-19_NLMIMAGE10_614530F9,ROUND,I53,YELLOW
689683250,OVAL,NVN1,ORANGE
669930405,ROUND,URS785,WHITE
433530787,ROUND,S;127,YELLOW
50111078766,OVAL,PLIVA;787,WHITE
ZYD00940,ROUND,ZC41,WHITE
628560245,ROUND,5;ARICEPT,WHITE
604290131,ROUND,WEST;WARD;473,WHITE
433530799,ROUND,2532;V,WHITE
675440251,ROUND,DAN;5658,WHITE
57896-0101-01_FB03FDAF,ROUND,M2A357344,WHITE
597626712,ROUND,Pfizer;CDT;254,WHITE
249870700,OVAL,RPR;202,WHITE
68462-0360-01_06230358,ROUND,IG;275,WHITE
433530535,CAPSULE,0;8;A,YELLOW
00591-0796-05_580EAC35,ROUND,WATSON;796,YELLOW
8969643a-b1b6-2991-e053-2995a90ace38,OVAL,WPI;22;25,WHITE
00378-0208-01_99204CF2,ROUND,M2,WHITE
13668-0220-30_NLMIMAGE10_614930B9,ROUND,20;20,WHITE
50111078855,OVAL,PLIVA;788,BLUE
00555904358part2of2,ROUND,dp;570,WHITE
510790759,ROUND,M;A2,WHITE
16714-0663-01_3F159FCC,CAPSULE,D;04,ORANGE
50419-0403-01_SPLIMAGE30_9D194EBA,ROUND,M,ORANGE
10_mEq_Potassium_Chloride_ER_Tablet,OVAL,a;KTAB,YELLOW
675440194,ROUND,4;COUMADIN,BLUE
50111044101,TRAPEZOID,PLIVA;441;50;50;50,WHITE
Jornay_SPLImage_60mg_v02,CAPSULE,IRONSHORE;60mg,TURQUOISE;WHITE
504740400,CAPSULE,Theo;24;400;mg;ucb;2902,PINK
683820267,CAPSULE,a;ZF,ORANGE
51672-4045-01_F30579BB,OVAL,T4,WHITE
64764-0677-30_2C1D964C,TEAR,TAP;80,GREEN
33342-0035-10_NLMIMAGE10_BF45DFBE,ROUND,CL;6,WHITE
7a273b99-d3ab-0730-e053-2a91aa0a3831,CAPSULE,R;069,RED
00093-1177-01_4F2B27C9,ROUND,93;1177,WHITE
00093-0314-01_222B1118,ROUND,93;314,WHITE
510790574,ROUND,M;T5,PURPLE
459630142,OVAL,142,WHITE
597620074,ROUND,CORTEF;10,WHITE
433530599,OVAL,M;312,BLUE
651620541,ROUND,AN41,YELLOW
64679-0937-03_A405D26E,ROUND,W;937,WHITE
LUP02940,CAPSULE,LU;Q01,GREEN;GREEN
5_mg_Olanzapine_Tablet_-_Blue,OVAL,R;5;0164,BLUE
510790868,ROUND,M;80,WHITE
605053130,ROUND,APO;QUE;25,PINK
50111039801,ROUND,PLIVA;398,ORANGE
604290341,ROUND,EP119,WHITE
524270272,CAPSULE,N;375,WHITE
00555906458part2of2,ROUND,b;143,WHITE
55111-0343-30_4826A465,ROUND,RDY;343,PINK
2bfe798f-7e4c-62fa-e054-00144ff8d46c,ROUND,AP;051,PINK
243380100,OVAL,EE,PINK
00245-0212-11_NLMIMAGE10_CF3BE79F,ROUND,US;5;212,PINK
51672-4005-02_56062B11,ROUND,TARO;11,WHITE
63459041230,OVAL,C;412,GREEN
510790077,CAPSULE,barr;323;25,YELLOW;PINK
669930051,OVAL,7656,BLUE
78b3e3d5-b255-6aca-e053-2a91aa0ac66c,CAPSULE,Xtra,BLUE
50419-0407-01_SPLIMAGE30_44192279,ROUND,M,ORANGE
55111-0262-81_NLMIMAGE10_F03BF87F,CAPSULE,R262,YELLOW
8400a69a-fd8b-214b-e053-2991aa0a0f37,CAPSULE,APO;ZIP;80,PURPLE;WHITE
504580586,OVAL,alza;36,WHITE
64764-0304-30_2015900C,ROUND,30;4;4833G,WHITE
249870447,ROUND,PARNATE;SB,RED
68180-0115-07_3A081D50,OVAL,L;U;X04,WHITE
504190863,ROUND,PRECOSE;25,WHITE
510790746,ROUND,M;45,WHITE
293000188,ROUND,UL;ll,PINK
00172-4366-60_7F26BFF5,ROUND,4366;TEVA,GREEN
05150e52-d8ea-10f0-e054-00144ff8d46c,OVAL,P20,ORANGE
00378-1809-01_5623AB5D,OVAL,M;L;8,YELLOW
162520599,OVAL,AN35,WHITE
50111064701,CAPSULE,PLIVA;647;PLIVA;647,WHITE
433530882,CAPSULE,ZA;36;75;mg,ORANGE;WHITE
651620751,ROUND,51;A,WHITE
82cf84a7-c2c2-79fa-e053-2a91aa0af0cc,ROUND,I;30,PINK
49884-0562-11_NLMIMAGE10_703BB85D,ROUND,Par;562,WHITE
00378-1811-01_5123A8BD,OVAL,M;L;9,PINK
00093-5423-28_NLMIMAGE10_D435EA1F,ROUND,DP,WHITE
651620544,ROUND,AN;44,WHITE
597620223,ROUND,G;223,PINK
50458-0930-20_3E161F70,OVAL,LEVAQUIN;750,WHITE
658620449,CAPSULE,F;8;3,BLUE
604290314,OVAL,T500,GREEN
69bd5d7d-037b-30ab-e053-2a91aa0a0e06,ROUND,4940;V,GRAY
491580503,ROUND,T;20,ORANGE
00173-0831-13_SPLIMAGE30_2C191678,ROUND,BAYER;20,ORANGE
510790542,ROUND,M;P2,RED
422910225,ROUND,CYP,WHITE
Clindamycin_150mg,CAPSULE,RX692,BLUE;GREEN
7df34d04-0448-42c1-e053-2991aa0a1f8b,ROUND,W;926,BROWN
68382-0198-16_FA0DFD1F,CAPSULE,P;3,PURPLE
65597-0106-30_1A130D78,OVAL,Sankyo;C23,YELLOW
246580301,OVAL,B301;10,ORANGE
00173-0806-61_94194A0A,OVAL,GS;LFG,WHITE
23155-0248-01_NLMIMAGE10_043D0258,OVAL,HP;248,ORANGE
50111078766,OVAL,PLIVA;787,WHITE
00832-1024-00_6E233779,ROUND,BAC;10;832,WHITE
79b89d1f-26f8-8f3c-e053-2991aa0a9065,ROUND,Y161;,YELLOW
596760561,OVAL,400MG;TMC,ORANGE
605050102,OVAL,APO;102;500,WHITE
502680593,OVAL,IP;194,BLUE
53489-0531-01_CD22E6D7,ROUND,MP;153,WHITE
52544096691part2of2,ROUND,WATSON;P1,ORANGE
605052985,ROUND,APO;AN;1,WHITE
422910318,CAPSULE,HCQS,WHITE
272f18b6-1b10-5621-e054-00144ff8d46c,ROUND,AP;012,WHITE
167140394,OVAL,C;61,YELLOW
669930160,ROUND,W01,WHITE
54092-0513-02_011600E0,ROUND,503;1mg,WHITE
55111-0344-30_24241210,ROUND,RDY;344,WHITE
ZYD01990,ROUND,P4,ORANGE
63304-0504-01_9F12CF96,CAPSULE,RX504,WHITE
597460211,ROUND,TL211,ORANGE
65162-0745-10_NLMIMAGE10_0841847C,ROUND,AN;745,WHITE
00173-0783-62_4A192579,CAPSULE,LOVAZA,YELLOW
510790437,CAPSULE,MYLAN;3125,WHITE;WHITE
23155-0116-01_NLMIMAGE10_BD3B5E8A,CAPSULE,U785,WHITE
675440512,ROUND,BAYER;10,ORANGE
63304-0192-30_NLMIMAGE10_9544CA96,DIAMOND,L190,BROWN
605052680,ROUND,LAM;200;APO,BLUE
00603-5372-21_1E0E0F10,ROUND,5131;V,YELLOW
633040436,ROUND,451;PLENDIL,RED
65580-0302-03_04128254,ROUND,OS302,WHITE
00904-3854-61_NLMIMAGE10_13328984,ROUND,271,PINK
68462-0305-84_NLMIMAGE10_E744F3A7,ROUND,305;G,YELLOW
510790869,OVAL,M;411,BLUE
52544-0913-01_AB1B558A,CAPSULE,WATSON;913,ORANGE;WHITE
00007-4893-20_D118E887,FREEFORM,SB;4893,YELLOW
250100705,CAPSULE,ATON;705;Cuprimine,WHITE
516724037,ROUND,T;2,YELLOW
647640510,ROUND,4833X;15;1000,WHITE
537460101,CAPSULE,IP101,WHITE
00056-0510-30_B11D58FA,OVAL,SUSTIVA;SUSTIVA,YELLOW
50111078766,OVAL,PLIVA;787,WHITE
433530160,ROUND,M;C33,WHITE
50111064801,CAPSULE,PLIVA;648,WHITE
47781-0307-01_C41C6263,CAPSULE,MACRODANTIN;50;mg;52427;287,YELLOW;WHITE
57844020852,CAPSULE,93;208;93;208,ORANGE
433530538,ROUND,WPI;858,WHITE
675440412,ROUND,R;35,WHITE
2be69045-ee4a-5d6e-e054-00144ff88e88,ROUND,FC,YELLOW;ORANGE;PINK
433530579,OVAL,7;1;2;WARFARIN;TARO,YELLOW
63459-0101-30_DD1C6E93,OVAL,PROVIGIL;100;MG,WHITE
50111032801,ROUND,PLIVA;328,ORANGE
604290069,ROUND,WW;112,ORANGE
604290139,OVAL,M,WHITE
50111032801,ROUND,PLIVA;328,ORANGE
501110324,ROUND,PLIVA;324,WHITE
523430076,CAPSULE,A;59,PINK
50580-0496-60_FF03FFBF,ROUND,TYLENOL;325,WHITE
18a79505-b506-62c0-e054-00144ff88e88,ROUND,21G,PINK
00378-1813-01_4823A43D,OVAL,M;L;10,GRAY
55111-0153-30_NLMIMAGE10_294114E8,ROUND,R;153,WHITE
50419-0405-01_SPLIMAGE30_BE195F3A,ROUND,DS,PINK
51285052302,ROUND,OP;706,WHITE
51285-0080-70_NLMIMAGE10_442FA21D,ROUND,b;247,BROWN
00378-1724-93_NLMIMAGE10_344B1A48,OVAL,MX44,ORANGE
681800351,CAPSULE,L;U;D01,GREEN
68382-0005-14_NLMIMAGE10_8B3CC5F6,CAPSULE,ZA64;25mg,WHITE
646790923,ROUND,W;923,WHITE
2ab8564f-f95f-7512-e054-00144ff88e88,ROUND,AP;110,ORANGE
00093-3147-01_SPLIMAGE30_C51962CB,CAPSULE,TEVA;3147,ORANGE
31722-0223-05_17080B80,CAPSULE,IG323;400mg,ORANGE
SUN01450,CAPSULE,145;145,YELLOW
675440655,ROUND,5,ORANGE
643760811,ROUND,BP;811,BROWN
310,RECTANGLE,10MG;APO,WHITE
00093-4338-01_BC2DDE7E,CAPSULE,4338;5;mg,WHITE
00781-2051-01_9A0ECD66,CAPSULE,GG621,WHITE
2356cb4c-3cfa-08fc-e054-00144ff88e88,CAPSULE,100;GG;335,YELLOW
160_mg_Propranolol_HCl_ER_Capsule,CAPSULE,160;RD203,BROWN
686820709,OVAL,B;420;mg,WHITE
762820419,ROUND,IG;419,RED
300_mg_Quetiapine_Tablet,CAPSULE,LU;Y19,WHITE
16729-0139-16_NLMIMAGE10_F03B786B,ROUND,5,WHITE
8efd019e-cf10-2403-e053-2a95a90a849b,OVAL,T29,WHITE
799c0cff-ec6a-7fc6-e053-2991aa0a77ef,ROUND,DAN;DAN;5544,ORANGE
63304-0579-01_5D26AEB5,ROUND,RE;79,WHITE
00093-8232-56_NLMIMAGE10_673833C1,OVAL,TEVA;7239,PINK
675440885,ROUND,SYNTHROID;75,PURPLE
605053778,CAPSULE,EffexorXR;375,ORANGE;GRAY
849cc1f8-8bcd-2fd3-e053-2a91aa0a9fbb,ROUND,K;6,ORANGE
00087-2773-32_EF12F7E7,OVAL,2773,WHITE
49884-0412-01_NLMIMAGE10_36479B5C,CAPSULE,P;412,WHITE
510790131,ROUND,M77,WHITE
422910755,ROUND,AN512,YELLOW
651620571,ROUND,AN;571,WHITE
59630-0575-60_9707CB9E,ROUND,575,WHITE
00603-2407-21_E023707B,OVAL,2266;V,WHITE
84645d7f-3a1f-c13e-e053-2991aa0ad3db,ROUND,3969;WPI,WHITE
16714-0417-02_NLMIMAGE10_2B4515F8,ROUND,L;230,WHITE
605052606,OVAL,APO;C3,WHITE
00093-2059-01_NLMIMAGE10_5B38ADD5,ROUND,B;90,YELLOW
654830093,CAPSULE,RIDAURA,BROWN
604290170,OVAL,IP;272,WHITE
504580302,OVAL,Ris;0;5;JANSSEN,BROWN
49884-0099-02_NLMIMAGE10_734739A9,CAPSULE,par;209,PINK
00093-8342-01_5C07AE5D,ROUND,N;342;1;25,WHITE
79b89d1f-26f9-8f3c-e053-2991aa0a9065,ROUND,Y163,RED
617480113,ROUND,C;113,PINK
6b51d2e4-9b8d-0369-e053-2a91aa0a2500,OVAL,APO;T150;50;50;50,WHITE
636293319,ROUND,SEROQUEL;25,PINK
00093-7434-98_NLMIMAGE10_DD436E9B,OVAL,7434;TEVA,BROWN
6dd74330-3842-0a77-e053-2991aa0a1817,ROUND,TCL;081,ORANGE
00591-5694-01_F90E7C93,CAPSULE,MINOCYCLINE;50;DAN;5694,YELLOW
50844-0175-10_NLMIMAGE10_5135A8AD,OVAL,44;175,WHITE
50111046801,ROUND,PLIVA;468,BLUE
